shift [ppm],Intensity [au]
15.9341,-10.368
15.93379,-11.37
15.93349,-10.612
15.93318,-11.061
15.93288,-10.683
15.93257,-8.197
15.93227,-7.256
15.93196,-9.722
15.93165,-11.975
15.93135,-13.05
15.93104,-11.558
15.93074,-8.76
15.93043,-6.845
15.93013,-6.24
15.92982,-6.579
15.92952,-7.394
15.92921,-5.413
15.92891,-3.421
15.9286,-3.866
15.92829,-5.476
15.92799,-5.293
15.92768,-4.54
15.92738,-4.264
15.92707,-3.805
15.92677,-3.5
15.92646,-4.715
15.92616,-6.213
15.92585,-6.913
15.92555,-8.259
15.92524,-8.25
15.92493,-7.946
15.92463,-7.949
15.92432,-6.769
15.92402,-5.502
15.92371,-4.682
15.92341,-4.698
15.9231,-5.69
15.9228,-5.886
15.92249,-5.526
15.92219,-5.714
15.92188,-6.338
15.92157,-6.698
15.92127,-7.585
15.92096,-7.224
15.92066,-7.12
15.92035,-7.911
15.92005,-9.545
15.91974,-10.96
15.91944,-10.861
15.91913,-10.712
15.91883,-9.136
15.91852,-5.948
15.91821,-5.019
15.91791,-5.182
15.9176,-4.589
15.9173,-3.527
15.91699,-3.921
15.91669,-5.133
15.91638,-5.746
15.91608,-6.347
15.91577,-5.966
15.91547,-5.132
15.91516,-5.328
15.91485,-6.435
15.91455,-5.975
15.91424,-4.586
15.91394,-4.094
15.91363,-4.551
15.91333,-4.204
15.91302,-3.593
15.91272,-2.739
15.91241,-3.69
15.91211,-3.024
15.9118,-3.007
15.91149,-3.705
15.91119,-2.211
15.91088,-2.173
15.91058,-2.659
15.91027,-3.429
15.90997,-3.692
15.90966,-3.465
15.90936,-3.848
15.90905,-4.79
15.90875,-5.439
15.90844,-5.84
15.90813,-4.949
15.90783,-4.492
15.90752,-3.595
15.90722,-3.115
15.90691,-3.857
15.90661,-5.575
15.9063,-6.553
15.906,-6.448
15.90569,-6.623
15.90539,-4.63
15.90508,-4.387
15.90477,-4.851
15.90447,-5.305
15.90416,-5.247
15.90386,-4.565
15.90355,-5.047
15.90325,-6.699
15.90294,-8.254
15.90264,-10.675
15.90233,-11.157
15.90202,-8.699
15.90172,-7.252
15.90141,-5.354
15.90111,-3.718
15.9008,-2.501
15.9005,-0.497
15.90019,0.859
15.89989,0.009
15.89958,-2.083
15.89928,-2.499
15.89897,-1.423
15.89866,-0.773
15.89836,-2.245
15.89805,-2.62
15.89775,-3.436
15.89744,-5.11
15.89714,-5.618
15.89683,-4.729
15.89653,-4.855
15.89622,-5.586
15.89592,-5.266
15.89561,-3.528
15.8953,-2.475
15.895,-2.625
15.89469,-2.782
15.89439,-4.367
15.89408,-5.471
15.89378,-5.446
15.89347,-3.451
15.89317,-0.77
15.89286,0.179
15.89256,-0.307
15.89225,-0.893
15.89194,-2.763
15.89164,-3.367
15.89133,-2.645
15.89103,-3.848
15.89072,-6.016
15.89042,-5.907
15.89011,-5.131
15.88981,-3.889
15.8895,-3.742
15.8892,-3.458
15.88889,-2.22
15.88858,-0.65
15.88828,0.129
15.88797,-0.434
15.88767,-2.12
15.88736,-4.188
15.88706,-4.39
15.88675,-2.244
15.88645,-1.632
15.88614,-2.453
15.88584,-2.598
15.88553,-3.493
15.88522,-5.28
15.88492,-6.278
15.88461,-7.232
15.88431,-7.581
15.884,-6.193
15.8837,-6.148
15.88339,-6.211
15.88309,-4.51
15.88278,-2.741
15.88248,-2.121
15.88217,-2.015
15.88186,-1.88
15.88156,-3.065
15.88125,-3.422
15.88095,-4.18
15.88064,-5.413
15.88034,-4.762
15.88003,-4.115
15.87973,-4.82
15.87942,-5.653
15.87912,-5.02
15.87881,-3.379
15.8785,-2.437
15.8782,-2.637
15.87789,-3.641
15.87759,-4.826
15.87728,-4.629
15.87698,-4.649
15.87667,-5.673
15.87637,-5.86
15.87606,-6.166
15.87576,-5.833
15.87545,-5.569
15.87514,-5.063
15.87484,-3.658
15.87453,-2.811
15.87423,-2.971
15.87392,-2.479
15.87362,-1.713
15.87331,-0.859
15.87301,-1.062
15.8727,-1.388
15.8724,-0.671
15.87209,-1.152
15.87178,-1.445
15.87148,-2.465
15.87117,-1.909
15.87087,-2.221
15.87056,-2.912
15.87026,-1.767
15.86995,-1.605
15.86965,-2.817
15.86934,-4.315
15.86904,-5.11
15.86873,-5.497
15.86842,-6.13
15.86812,-6.487
15.86781,-5.032
15.86751,-5.301
15.8672,-6.112
15.8669,-5.453
15.86659,-5.221
15.86629,-4.377
15.86598,-3.516
15.86568,-3.901
15.86537,-3.093
15.86506,-2.978
15.86476,-3.07
15.86445,-1.547
15.86415,-3.279
15.86384,-5.67
15.86354,-5.689
15.86323,-5.742
15.86293,-4.837
15.86262,-4.088
15.86232,-2.33
15.86201,0.519
15.8617,-0.052
15.8614,-1.026
15.86109,-2.362
15.86079,-1.837
15.86048,-1.472
15.86018,-1.422
15.85987,-0.787
15.85957,-1.521
15.85926,-2.358
15.85896,-1.276
15.85865,1.071
15.85834,0.289
15.85804,-1.337
15.85773,-2.64
15.85743,-2.011
15.85712,-0.353
15.85682,-0.637
15.85651,-0.905
15.85621,0.404
15.8559,0.279
15.8556,-0.581
15.85529,-0.505
15.85498,-1.126
15.85468,-2.287
15.85437,-3.604
15.85407,-4.848
15.85376,-3.758
15.85346,-2.667
15.85315,-0.99
15.85285,0.307
15.85254,-0.361
15.85224,-1.333
15.85193,-1.255
15.85162,-1.352
15.85132,-2.17
15.85101,-3.079
15.85071,-2.624
15.8504,-0.536
15.8501,1.571
15.84979,0.932
15.84949,-2.462
15.84918,-3.546
15.84888,-2.362
15.84857,-1.486
15.84826,-1.803
15.84796,-2.515
15.84765,-3.903
15.84735,-3.06
15.84704,-1.482
15.84674,-0.484
15.84643,1.065
15.84613,1.533
15.84582,-0.282
15.84552,-2.128
15.84521,-2.493
15.8449,-0.92
15.8446,0.935
15.84429,1.205
15.84399,1.308
15.84368,2.583
15.84338,2.637
15.84307,0.859
15.84277,0.088
15.84246,-0.492
15.84216,-1.886
15.84185,-1.509
15.84154,0.034
15.84124,1.8
15.84093,2.681
15.84063,1.016
15.84032,-1.548
15.84002,-4.003
15.83971,-5.136
15.83941,-3.724
15.8391,-1.67
15.8388,-0.79
15.83849,-1.382
15.83818,-2.549
15.83788,-3.244
15.83757,-3.194
15.83727,-2.196
15.83696,-3.595
15.83666,-3.906
15.83635,-2.027
15.83605,-1.11
15.83574,-2.44
15.83543,-2.116
15.83513,-2.655
15.83482,-4.435
15.83452,-4.805
15.83421,-5.016
15.83391,-5.117
15.8336,-5.361
15.8333,-4.728
15.83299,-3.13
15.83269,-0.4
15.83238,0.814
15.83207,0.304
15.83177,-0.967
15.83146,-2.014
15.83116,-0.647
15.83085,-0.513
15.83055,-3.214
15.83024,-5.25
15.82994,-5.652
15.82963,-3.05
15.82933,-2.217
15.82902,-2.332
15.82871,-1.618
15.82841,-1.524
15.8281,-1.4
15.8278,-1.548
15.82749,-1.242
15.82719,-0.783
15.82688,-0.825
15.82658,-1.179
15.82627,0.422
15.82597,1.174
15.82566,-1.223
15.82535,-4.864
15.82505,-5.334
15.82474,-3.207
15.82444,-0.657
15.82413,0.255
15.82383,0.491
15.82352,-0.747
15.82322,-2.019
15.82291,-3.015
15.82261,-3.643
15.8223,-4.959
15.82199,-6.214
15.82169,-4.42
15.82138,-2.364
15.82108,-1.434
15.82077,-0.523
15.82047,0.367
15.82016,0.477
15.81986,-1.024
15.81955,-1.543
15.81925,-0.724
15.81894,0.095
15.81863,-0.949
15.81833,-2.593
15.81802,-3.108
15.81772,-1.914
15.81741,-0.128
15.81711,0.858
15.8168,0.109
15.8165,-0.749
15.81619,-2.054
15.81589,-5.044
15.81558,-4.849
15.81527,-3.79
15.81497,-3.253
15.81466,-2.547
15.81436,-3.647
15.81405,-4.627
15.81375,-4.03
15.81344,-3.871
15.81314,-4.198
15.81283,-2.737
15.81253,-0.548
15.81222,0.301
15.81191,0.347
15.81161,0.085
15.8113,-0.086
15.811,-0.274
15.81069,-0.436
15.81039,-0.93
15.81008,-1.648
15.80978,-2.76
15.80947,-3.062
15.80917,-2.455
15.80886,-2.008
15.80855,-2.019
15.80825,-1.689
15.80794,-1.166
15.80764,-0.07
15.80733,0.806
15.80703,-0.019
15.80672,-1.282
15.80642,-1.511
15.80611,-2.329
15.80581,-2.29
15.8055,-2.166
15.80519,-1.463
15.80489,-0.935
15.80458,-0.53
15.80428,0.975
15.80397,0.547
15.80367,-0.22
15.80336,0.552
15.80306,0.53
15.80275,-0.681
15.80245,-1.582
15.80214,-1.785
15.80183,-1.294
15.80153,-1.701
15.80122,-3.11
15.80092,-3.027
15.80061,-3.109
15.80031,-2.557
15.8,-3.842
15.7997,-4.354
15.79939,-3.104
15.79909,-1.491
15.79878,-0.56
15.79847,0.34
15.79817,1.154
15.79786,2.551
15.79756,1.437
15.79725,-0.03
15.79695,0.322
15.79664,-0.638
15.79634,-1.002
15.79603,-1.775
15.79573,-2.073
15.79542,-1.136
15.79511,-0.716
15.79481,-0.677
15.7945,-0.323
15.7942,-0.93
15.79389,-0.448
15.79359,0.887
15.79328,1.189
15.79298,0.959
15.79267,0.349
15.79237,0.615
15.79206,1.425
15.79175,1.525
15.79145,0.779
15.79114,-0.611
15.79084,-0.296
15.79053,1.288
15.79023,1.442
15.78992,-0.133
15.78962,-2.17
15.78931,-3.413
15.78901,-2.414
15.7887,-2.388
15.78839,-2.333
15.78809,-1.212
15.78778,0.106
15.78748,-0.609
15.78717,-1.144
15.78687,-1.558
15.78656,-2.913
15.78626,-2.455
15.78595,-2.317
15.78565,-4.388
15.78534,-6.274
15.78503,-6.926
15.78473,-6.931
15.78442,-6.358
15.78412,-6.034
15.78381,-6.097
15.78351,-3.932
15.7832,-2.116
15.7829,-0.753
15.78259,-1.493
15.78229,-2.485
15.78198,-2.607
15.78167,-1.551
15.78137,-0.321
15.78106,0.887
15.78076,1.611
15.78045,1.028
15.78015,-0.577
15.77984,-0.823
15.77954,-0.594
15.77923,-0.267
15.77893,0.461
15.77862,1.051
15.77831,0.291
15.77801,-1.572
15.7777,-2.063
15.7774,-1.638
15.77709,-1.093
15.77679,-1.137
15.77648,-1.15
15.77618,-1.105
15.77587,-1.468
15.77557,-2.42
15.77526,-4.585
15.77495,-5.233
15.77465,-3.331
15.77434,-0.957
15.77404,-1.157
15.77373,-2.778
15.77343,-2.239
15.77312,-2.145
15.77282,-3.01
15.77251,-4.519
15.77221,-4.07
15.7719,-3.223
15.77159,-2.977
15.77129,-2.884
15.77098,-1.258
15.77068,-0.383
15.77037,-1.786
15.77007,-1.792
15.76976,-1.225
15.76946,-1.078
15.76915,-2.229
15.76884,-3.513
15.76854,-4.817
15.76823,-6.068
15.76793,-6.128
15.76762,-4.983
15.76732,-4.442
15.76701,-3.857
15.76671,-1.676
15.7664,-0.272
15.7661,0.331
15.76579,1.365
15.76548,0.411
15.76518,-0.873
15.76487,-0.013
15.76457,0.722
15.76426,0.683
15.76396,0.883
15.76365,0.322
15.76335,-0.447
15.76304,0.216
15.76274,-0.137
15.76243,-0.096
15.76212,-0.612
15.76182,-0.721
15.76151,0.865
15.76121,0.075
