shift [ppm],Intensity [au]
214.77915,125.36
214.77186,55.524
214.76457,-222.458
214.75728,-252.752
214.75,91.621
214.74271,163.237
214.73542,-153.791
214.72813,-231.947
214.72084,-208.097
214.71355,-6.896
214.70626,246.723
214.69897,257.218
214.69169,30.54
214.6844,-73.119
214.67711,-172.082
214.66982,-93.291
214.66253,-163.796
214.65524,-123.703
214.64795,-95.971
214.64066,-101.76
214.63338,-89.861
214.62609,-61.852
214.6188,-71.137
214.61151,115.426
214.60422,113.397
214.59693,-47.164
214.58964,78.275
214.58235,-41.648
214.57507,-121.117
214.56778,-137.075
214.56049,-107.699
214.5532,55.843
214.54591,112.485
214.53862,191.042
214.53133,106.083
214.52404,155.851
214.51676,150.386
214.50947,146.319
214.50218,312.687
214.49489,215.998
214.4876,277.398
214.48031,179.325
214.47302,21.558
214.46573,84.747
214.45845,14.416
214.45116,-105.487
214.44387,-147.141
214.43658,-102.317
214.42929,-80.992
214.422,-198.437
214.41471,-119.744
214.40743,-3.815
214.40014,-19.384
214.39285,-143.159
214.38556,-152.332
214.37827,-172.057
214.37098,-299.389
214.36369,-206.211
214.3564,-150.449
214.34912,-235.742
214.34183,-406.823
214.33454,-303.316
214.32725,-66.833
214.31996,-34.492
214.31267,-133.288
214.30538,72.834
214.29809,175.422
214.29081,144.135
214.28352,193.773
214.27623,66.571
214.26894,-180.967
214.26165,-182.217
214.25436,-95.519
214.24707,-88.508
214.23978,-79.603
214.2325,-99.315
214.22521,-75.87
214.21792,25.661
214.21063,59.84
214.20334,-174.942
214.19605,-108.586
214.18876,-208.675
214.18147,-9.519
214.17419,137.653
214.1669,209.804
214.15961,199.834
214.15232,-52.721
214.14503,-124.173
214.13774,-109.26
214.13045,-57.273
214.12316,218.489
214.11588,41.456
214.10859,-74.886
214.1013,-4.854
214.09401,41.954
214.08672,44.581
214.07943,76.847
214.07214,31.401
214.06486,37.777
214.05757,83.115
214.05028,-30.503
214.04299,136.493
214.0357,57.016
214.02841,12.796
214.02112,58.165
214.01383,3.447
214.00655,-27.515
213.99926,-147.863
213.99197,-179.979
213.98468,-53.461
213.97739,-46.523
213.9701,-85.751
213.96281,-55.479
213.95552,-187.904
213.94824,-145.957
213.94095,-71.616
213.93366,-153.471
213.92637,-147.27
213.91908,-242.601
213.91179,-194.317
213.9045,-62.975
213.89721,64.001
213.88993,-46.658
213.88264,-19.388
213.87535,-50.494
213.86806,59.211
213.86077,-76.233
213.85348,-153.163
213.84619,-104.972
213.8389,-91.803
213.83162,-61.869
