T,Viscosity
4.030000000000000000e+02,2.858453518301207752e-01
4.040000000000000000e+02,2.832934901029366404e-01
4.050000000000000000e+02,2.807768435640750071e-01
4.060000000000000000e+02,2.782947864050293041e-01
4.070000000000000000e+02,2.758467062342598308e-01
4.080000000000000000e+02,2.734320037428433214e-01
4.090000000000000000e+02,2.710500923795838291e-01
4.100000000000000000e+02,2.687003980352664079e-01
4.110000000000000000e+02,2.663823587357829759e-01
4.120000000000000000e+02,2.640954243438415339e-01
4.130000000000000000e+02,2.618390562689981160e-01
4.140000000000000000e+02,2.596127271857473495e-01
4.150000000000000000e+02,2.574159207594263199e-01
4.160000000000000000e+02,2.552481313796859386e-01
4.170000000000000000e+02,2.531088639013022723e-01
4.180000000000000000e+02,2.509976333920942992e-01
4.190000000000000000e+02,2.489139648877408406e-01
4.200000000000000000e+02,2.468573931532761223e-01
4.210000000000000000e+02,2.448274624510690667e-01
4.220000000000000000e+02,2.428237263150838654e-01
4.230000000000000000e+02,2.408457473312364538e-01
4.240000000000000000e+02,2.388930969236587043e-01
4.250000000000000000e+02,2.369653551466977259e-01
4.260000000000000000e+02,2.350621104824761332e-01
4.270000000000000000e+02,2.331829596438458330e-01
4.280000000000000000e+02,2.313275073825784844e-01
4.290000000000000000e+02,2.294953663026332580e-01
4.300000000000000000e+02,2.276861566783578983e-01
4.310000000000000000e+02,2.258995062774681595e-01
4.320000000000000000e+02,2.241350501886756608e-01
4.330000000000000000e+02,2.223924306538227758e-01
4.340000000000000000e+02,2.206712969043880812e-01
4.350000000000000000e+02,2.189713050022480123e-01
4.360000000000000000e+02,2.172921176845586666e-01
4.370000000000000000e+02,2.156334042126445694e-01
4.380000000000000000e+02,2.139948402247776327e-01
4.390000000000000000e+02,2.123761075927359798e-01
4.400000000000000000e+02,2.107768942820301972e-01
4.410000000000000000e+02,2.091968942156976763e-01
4.420000000000000000e+02,2.076358071415582152e-01
4.430000000000000000e+02,2.060933385028359821e-01
4.440000000000000000e+02,2.045691993120504759e-01
4.450000000000000000e+02,2.030631060280863875e-01
4.460000000000000000e+02,2.015747804363498819e-01
4.470000000000000000e+02,2.001039495319265615e-01
4.480000000000000000e+02,1.986503454056587070e-01
4.490000000000000000e+02,1.972137051330544733e-01
4.500000000000000000e+02,1.957937706659578225e-01
4.510000000000000000e+02,1.943902887268969815e-01
4.520000000000000000e+02,1.930030107060389521e-01
4.530000000000000000e+02,1.916316925606809662e-01
4.540000000000000000e+02,1.902760947172026929e-01
4.550000000000000000e+02,1.889359819754192760e-01
4.560000000000000000e+02,1.876111234152630092e-01
4.570000000000000000e+02,1.863012923057367765e-01
4.580000000000000000e+02,1.850062660160687045e-01
4.590000000000000000e+02,1.837258259290180662e-01
4.600000000000000000e+02,1.824597573562675712e-01
4.610000000000000000e+02,1.812078494558484743e-01
4.620000000000000000e+02,1.799698951515418532e-01
4.630000000000000000e+02,1.787456910542080113e-01
4.640000000000000000e+02,1.775350373849841901e-01
4.650000000000000000e+02,1.763377379003111811e-01
4.660000000000000000e+02,1.751535998187305487e-01
4.670000000000000000e+02,1.739824337494106088e-01
4.680000000000000000e+02,1.728240536223562551e-01
4.690000000000000000e+02,1.716782766202555044e-01
4.700000000000000000e+02,1.705449231119205711e-01
4.710000000000000000e+02,1.694238165872831714e-01
4.720000000000000000e+02,1.683147835939006187e-01
4.730000000000000000e+02,1.672176536749376552e-01
4.740000000000000000e+02,1.661322593085801658e-01
4.750000000000000000e+02,1.650584358488493830e-01
4.760000000000000000e+02,1.639960214677747830e-01
4.770000000000000000e+02,1.629448570988966394e-01
4.780000000000000000e+02,1.619047863820586852e-01
4.790000000000000000e+02,1.608756556094611267e-01
4.800000000000000000e+02,1.598573136729398714e-01
4.810000000000000000e+02,1.588496120124434363e-01
4.820000000000000000e+02,1.578524045656730102e-01
4.830000000000000000e+02,1.568655477188606873e-01
4.840000000000000000e+02,1.558889002586533457e-01
4.850000000000000000e+02,1.549223233250771603e-01
4.860000000000000000e+02,1.539656803655526929e-01
4.870000000000000000e+02,1.530188370899382144e-01
4.880000000000000000e+02,1.520816614265699807e-01
4.890000000000000000e+02,1.511540234792818904e-01
4.900000000000000000e+02,1.502357954853715816e-01
4.910000000000000000e+02,1.493268517744985868e-01
4.920000000000000000e+02,1.484270687284830748e-01
4.930000000000000000e+02,1.475363247419884949e-01
4.940000000000000000e+02,1.466545001840659501e-01
4.950000000000000000e+02,1.457814773605351222e-01
4.960000000000000000e+02,1.449171404771865124e-01
4.970000000000000000e+02,1.440613756037814053e-01
4.980000000000000000e+02,1.432140706388311258e-01
4.990000000000000000e+02,1.423751152751371873e-01
5.000000000000000000e+02,1.415444009660736246e-01
5.010000000000000000e+02,1.407218208925929415e-01
5.020000000000000000e+02,1.399072699309399370e-01
5.030000000000000000e+02,1.391006446210530101e-01
5.040000000000000000e+02,1.383018431356416444e-01
5.050000000000000000e+02,1.375107652499183153e-01
5.060000000000000000e+02,1.367273123119741585e-01
5.070000000000000000e+02,1.359513872137786961e-01
5.080000000000000000e+02,1.351828943627920721e-01
5.090000000000000000e+02,1.344217396541755594e-01
5.100000000000000000e+02,1.336678304435807985e-01
5.110000000000000000e+02,1.329210755205135486e-01
5.120000000000000000e+02,1.321813850822481928e-01
5.130000000000000000e+02,1.314486707082885286e-01
5.140000000000000000e+02,1.307228453353565245e-01
5.150000000000000000e+02,1.300038232329004950e-01
5.160000000000000000e+02,1.292915199791068726e-01
5.170000000000000000e+02,1.285858524374077216e-01
5.180000000000000000e+02,1.278867387334704786e-01
5.190000000000000000e+02,1.271940982326583702e-01
5.200000000000000000e+02,1.265078515179519636e-01
5.210000000000000000e+02,1.258279203683212444e-01
5.220000000000000000e+02,1.251542277375362056e-01
5.230000000000000000e+02,1.244866977334072033e-01
5.240000000000000000e+02,1.238252555974477948e-01
5.250000000000000000e+02,1.231698276849439305e-01
5.260000000000000000e+02,1.225203414454272277e-01
5.270000000000000000e+02,1.218767254035386244e-01
5.280000000000000000e+02,1.212389091402765740e-01
5.290000000000000000e+02,1.206068232746184271e-01
5.300000000000000000e+02,1.199803994455086037e-01
5.310000000000000000e+02,1.193595702942051168e-01
5.320000000000000000e+02,1.187442694469752202e-01
5.330000000000000000e+02,1.181344314981334076e-01
5.340000000000000000e+02,1.175299919934148646e-01
5.350000000000000000e+02,1.169308874136748971e-01
5.360000000000000000e+02,1.163370551589092139e-01
5.370000000000000000e+02,1.157484335325855984e-01
5.380000000000000000e+02,1.151649617262844455e-01
5.390000000000000000e+02,1.145865798046347694e-01
5.400000000000000000e+02,1.140132286905469333e-01
5.410000000000000000e+02,1.134448501507274720e-01
5.420000000000000000e+02,1.128813867814782851e-01
5.430000000000000000e+02,1.123227819947658634e-01
5.440000000000000000e+02,1.117689800045623266e-01
5.450000000000000000e+02,1.112199258134456276e-01
5.460000000000000000e+02,1.106755651994574957e-01
5.470000000000000000e+02,1.101358447032133592e-01
5.480000000000000000e+02,1.096007116152565852e-01
5.490000000000000000e+02,1.090701139636540418e-01
5.500000000000000000e+02,1.085440005018262211e-01
5.510000000000000000e+02,1.080223206966081789e-01
