T,Viscosity
3.700000000000000000e+02,4.791000556443374414e-01
3.710000000000000000e+02,4.738776863404260409e-01
3.720000000000000000e+02,4.687398629141352746e-01
3.730000000000000000e+02,4.636848467181594047e-01
3.740000000000000000e+02,4.587109418811780026e-01
3.750000000000000000e+02,4.538164940917415180e-01
3.760000000000000000e+02,4.489998894211956748e-01
3.770000000000000000e+02,4.442595531842617462e-01
3.780000000000000000e+02,4.395939488359250080e-01
3.790000000000000000e+02,4.350015769033536706e-01
3.800000000000000000e+02,4.304809739516071709e-01
3.810000000000000000e+02,4.260307115819487178e-01
3.820000000000000000e+02,4.216493954616195583e-01
3.830000000000000000e+02,4.173356643839750690e-01
3.840000000000000000e+02,4.130881893579289588e-01
3.850000000000000000e+02,4.089056727256894508e-01
3.860000000000000000e+02,4.047868473078062301e-01
3.870000000000000000e+02,4.007304755745964564e-01
3.880000000000000000e+02,3.967353488430347963e-01
3.890000000000000000e+02,3.928002864982478859e-01
3.900000000000000000e+02,3.889241352387637907e-01
3.910000000000000000e+02,3.851057683447204338e-01
3.920000000000000000e+02,3.813440849682517841e-01
3.930000000000000000e+02,3.776380094453016256e-01
3.940000000000000000e+02,3.739864906281500923e-01
3.950000000000000000e+02,3.703885012379587449e-01
3.960000000000000000e+02,3.668430372366597858e-01
3.970000000000000000e+02,3.633491172175571937e-01
3.980000000000000000e+02,3.599057818140104503e-01
3.990000000000000000e+02,3.565120931256067216e-01
4.000000000000000000e+02,3.531671341612481752e-01
4.010000000000000000e+02,3.498700082985954918e-01
4.020000000000000000e+02,3.466198387593358854e-01
4.030000000000000000e+02,3.434157680997593221e-01
4.040000000000000000e+02,3.402569577161422276e-01
4.050000000000000000e+02,3.371425873644685045e-01
4.060000000000000000e+02,3.340718546940119604e-01
4.070000000000000000e+02,3.310439747943483835e-01
4.080000000000000000e+02,3.280581797553553947e-01
4.090000000000000000e+02,3.251137182397928482e-01
4.100000000000000000e+02,3.222098550680594364e-01
4.110000000000000000e+02,3.193458708147416392e-01
4.120000000000000000e+02,3.165210614165763769e-01
4.130000000000000000e+02,3.137347377914777580e-01
4.140000000000000000e+02,3.109862254682678184e-01
4.150000000000000000e+02,3.082748642267876815e-01
4.160000000000000000e+02,3.056000077480564570e-01
4.170000000000000000e+02,3.029610232741666853e-01
4.180000000000000000e+02,3.003572912776238391e-01
4.190000000000000000e+02,2.977882051398179630e-01
4.200000000000000000e+02,2.952531708383691611e-01
4.210000000000000000e+02,2.927516066430555508e-01
4.220000000000000000e+02,2.902829428200726647e-01
4.230000000000000000e+02,2.878466213443624522e-01
4.240000000000000000e+02,2.854420956197734616e-01
4.250000000000000000e+02,2.830688302068041784e-01
4.260000000000000000e+02,2.807263005577135262e-01
4.270000000000000000e+02,2.784139927587651608e-01
4.280000000000000000e+02,2.761314032793972251e-01
4.290000000000000000e+02,2.738780387281068984e-01
4.300000000000000000e+02,2.716534156148526225e-01
4.310000000000000000e+02,2.694570601197751047e-01
4.320000000000000000e+02,2.672885078680562465e-01
4.330000000000000000e+02,2.651473037107271447e-01
4.340000000000000000e+02,2.630330015112537501e-01
4.350000000000000000e+02,2.609451639377317611e-01
4.360000000000000000e+02,2.588833622605199447e-01
4.370000000000000000e+02,2.568471761551615606e-01
4.380000000000000000e+02,2.548361935104327958e-01
4.390000000000000000e+02,2.528500102413718253e-01
4.400000000000000000e+02,2.508882301071443943e-01
4.410000000000000000e+02,2.489504645336078625e-01
4.420000000000000000e+02,2.470363324404328820e-01
4.430000000000000000e+02,2.451454600726593880e-01
4.440000000000000000e+02,2.432774808365549268e-01
4.450000000000000000e+02,2.414320351396532782e-01
4.460000000000000000e+02,2.396087702348559112e-01
4.470000000000000000e+02,2.378073400684797833e-01
4.480000000000000000e+02,2.360274051321421263e-01
4.490000000000000000e+02,2.342686323183698072e-01
4.500000000000000000e+02,2.325306947798317647e-01
4.510000000000000000e+02,2.308132717920947374e-01
4.520000000000000000e+02,2.291160486197980073e-01
4.530000000000000000e+02,2.274387163861573691e-01
4.540000000000000000e+02,2.257809719457032627e-01
4.550000000000000000e+02,2.241425177601642504e-01
4.560000000000000000e+02,2.225230617774086594e-01
4.570000000000000000e+02,2.209223173133601226e-01
4.580000000000000000e+02,2.193400029368052784e-01
4.590000000000000000e+02,2.177758423570165525e-01
4.600000000000000000e+02,2.162295643141061985e-01
4.610000000000000000e+02,2.147009024720515913e-01
4.620000000000000000e+02,2.131895953142995404e-01
4.630000000000000000e+02,2.116953860418978040e-01
4.640000000000000000e+02,2.102180224740758940e-01
4.650000000000000000e+02,2.087572569512096132e-01
4.660000000000000000e+02,2.073128462401109817e-01
4.670000000000000000e+02,2.058845514415743039e-01
4.680000000000000000e+02,2.044721379001235018e-01
4.690000000000000000e+02,2.030753751158999310e-01
4.700000000000000000e+02,2.016940366586335576e-01
4.710000000000000000e+02,2.003279000836419577e-01
4.720000000000000000e+02,1.989767468498089276e-01
4.730000000000000000e+02,1.976403622394798110e-01
4.740000000000000000e+02,1.963185352802362671e-01
4.750000000000000000e+02,1.950110586684899450e-01
4.760000000000000000e+02,1.937177286948559007e-01
4.770000000000000000e+02,1.924383451712541604e-01
4.780000000000000000e+02,1.911727113596972394e-01
4.790000000000000000e+02,1.899206339027185164e-01
4.800000000000000000e+02,1.886819227554011880e-01
4.810000000000000000e+02,1.874563911189656429e-01
4.820000000000000000e+02,1.862438553758711535e-01
4.830000000000000000e+02,1.850441350264036000e-01
4.840000000000000000e+02,1.838570526266976035e-01
4.850000000000000000e+02,1.826824337281683641e-01
4.860000000000000000e+02,1.815201068183114330e-01
4.870000000000000000e+02,1.803699032628361676e-01
4.880000000000000000e+02,1.792316572491013393e-01
4.890000000000000000e+02,1.781052057308177283e-01
4.900000000000000000e+02,1.769903883739879780e-01
4.910000000000000000e+02,1.758870475040513470e-01
4.920000000000000000e+02,1.747950280542038271e-01
4.930000000000000000e+02,1.737141775148638712e-01
4.940000000000000000e+02,1.726443458842560619e-01
4.950000000000000000e+02,1.715853856200852401e-01
